age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
49,blue-collar,divorced,primary,no,912,no,no,unknown,20,jun,170,2,-1,0,unknown
71,retired,divorced,tertiary,no,780,no,no,telephone,22,apr,220,1,-1,0,unknown
33,blue-collar,single,unknown,no,129,yes,yes,cellular,20,nov,192,1,-1,0,unknown
53,services,married,secondary,no,2719,yes,no,unknown,30,may,80,2,-1,0,unknown
57,management,married,tertiary,no,163,no,no,cellular,6,aug,83,3,-1,0,unknown
32,blue-collar,single,secondary,no,-255,no,yes,unknown,2,jul,957,3,-1,0,unknown
29,admin.,married,secondary,no,5605,yes,no,unknown,28,may,117,2,-1,0,unknown
23,services,single,secondary,no,500,yes,no,unknown,4,jun,111,3,-1,0,unknown
47,management,married,tertiary,no,618,yes,no,cellular,7,may,50,2,359,3,failure
39,technician,single,secondary,no,506,yes,no,cellular,7,jul,718,2,-1,0,unknown
46,management,married,tertiary,no,459,yes,no,unknown,6,may,221,1,-1,0,unknown
57,management,married,secondary,no,39,yes,no,cellular,15,may,114,2,-1,0,unknown
38,admin.,single,secondary,no,0,no,no,cellular,8,jul,452,3,-1,0,unknown
34,blue-collar,single,unknown,no,484,no,no,cellular,8,oct,90,1,-1,0,unknown
31,unemployed,single,primary,no,1,no,no,cellular,2,feb,19,6,-1,0,unknown
40,blue-collar,single,primary,no,-187,yes,no,cellular,5,feb,160,1,-1,0,unknown
37,management,married,tertiary,no,839,no,yes,cellular,28,aug,87,11,-1,0,unknown
64,retired,married,unknown,no,34,no,no,cellular,26,aug,244,2,-1,0,unknown
60,management,married,tertiary,no,3876,no,yes,cellular,5,aug,445,3,-1,0,unknown
53,technician,married,secondary,no,-46,no,no,cellular,29,jan,87,2,-1,0,unknown
25,blue-collar,single,secondary,no,207,yes,no,unknown,28,may,680,1,-1,0,unknown
31,management,single,tertiary,no,0,yes,yes,cellular,14,may,117,3,352,3,failure
25,blue-collar,married,primary,no,0,no,no,cellular,7,jul,64,1,-1,0,unknown
31,housemaid,married,secondary,no,12,yes,no,cellular,10,jul,81,3,-1,0,unknown
49,management,married,tertiary,no,0,no,no,cellular,6,aug,44,2,-1,0,unknown
38,management,married,tertiary,no,1223,no,no,cellular,12,aug,1092,5,-1,0,unknown
56,entrepreneur,married,tertiary,no,-65,yes,no,unknown,30,jun,45,2,-1,0,unknown
40,blue-collar,married,primary,no,1206,no,yes,telephone,16,jul,201,5,-1,0,unknown
34,management,single,tertiary,no,-444,yes,yes,cellular,17,apr,129,2,148,4,other
51,self-employed,married,tertiary,no,2007,no,no,unknown,16,jun,1021,1,-1,0,unknown
40,self-employed,married,tertiary,no,355,yes,no,cellular,17,jul,1390,2,-1,0,unknown
47,entrepreneur,married,tertiary,no,1855,no,no,unknown,20,jun,129,3,-1,0,unknown
52,technician,married,secondary,no,5303,yes,no,unknown,19,oct,133,1,-1,0,unknown
38,unemployed,married,tertiary,no,2812,yes,no,cellular,3,nov,322,1,187,1,success
30,blue-collar,single,secondary,yes,447,no,no,unknown,14,may,103,6,-1,0,unknown
36,blue-collar,single,secondary,no,1598,yes,no,cellular,5,feb,208,1,-1,0,unknown
51,entrepreneur,married,primary,no,1443,no,no,cellular,18,feb,172,10,-1,0,unknown
31,management,single,tertiary,no,796,no,yes,cellular,21,nov,150,1,-1,0,unknown
50,technician,married,secondary,no,-997,no,yes,cellular,28,aug,70,7,-1,0,unknown
29,management,married,primary,no,5547,no,no,cellular,3,jul,236,2,-1,0,unknown
64,retired,married,tertiary,no,2139,no,no,cellular,13,jan,230,1,91,2,failure
39,management,married,primary,no,13,no,no,unknown,2,jun,59,4,-1,0,unknown
43,blue-collar,divorced,secondary,no,338,yes,no,unknown,8,may,116,1,-1,0,unknown
54,management,married,secondary,no,1134,yes,no,cellular,25,jul,1330,3,-1,0,unknown
48,management,divorced,tertiary,no,507,yes,no,cellular,9,apr,528,1,-1,0,unknown
35,technician,divorced,secondary,no,303,yes,yes,unknown,26,may,454,3,-1,0,unknown
42,blue-collar,married,primary,no,191,yes,no,telephone,14,may,382,3,371,1,failure
40,management,married,secondary,no,99,no,no,cellular,9,feb,15,5,-1,0,unknown
35,technician,married,secondary,no,1364,yes,yes,cellular,20,apr,25,2,-1,0,unknown
53,retired,married,secondary,no,4968,no,no,cellular,6,may,109,1,87,2,failure
30,blue-collar,single,secondary,no,411,no,no,cellular,25,may,115,1,-1,0,unknown
55,blue-collar,married,primary,no,1086,yes,no,cellular,6,may,146,1,272,2,failure
31,unemployed,single,tertiary,no,302,no,no,cellular,3,feb,349,1,357,3,success
35,management,single,tertiary,no,1756,no,no,cellular,20,aug,195,1,-1,0,unknown
26,blue-collar,single,secondary,yes,81,no,yes,cellular,8,jul,803,2,-1,0,unknown
26,management,single,tertiary,no,170,no,no,cellular,15,jun,129,1,-1,0,unknown
38,self-employed,married,tertiary,no,585,yes,no,unknown,21,may,34,3,-1,0,unknown
40,blue-collar,married,primary,no,669,yes,no,unknown,26,may,161,3,-1,0,unknown
36,management,married,primary,no,22856,no,no,unknown,9,jun,1098,1,-1,0,unknown
31,technician,single,secondary,no,118,no,no,cellular,2,feb,50,1,-1,0,unknown
32,blue-collar,married,secondary,no,254,yes,no,cellular,19,nov,1720,3,-1,0,unknown
57,management,divorced,tertiary,no,461,yes,no,unknown,21,may,142,10,-1,0,unknown
39,entrepreneur,divorced,secondary,no,990,yes,no,cellular,23,jul,55,1,-1,0,unknown
41,technician,single,unknown,no,356,yes,no,unknown,13,may,93,2,-1,0,unknown
42,blue-collar,married,unknown,no,1123,yes,no,unknown,29,may,105,3,-1,0,unknown
36,technician,single,tertiary,no,705,yes,no,unknown,16,may,111,1,-1,0,unknown
34,blue-collar,married,secondary,no,840,yes,no,cellular,12,may,275,3,-1,0,unknown
41,management,single,secondary,no,800,no,no,cellular,8,aug,899,2,-1,0,unknown
48,management,single,tertiary,no,0,yes,yes,cellular,8,may,76,1,-1,0,unknown
41,management,single,tertiary,no,1216,yes,no,unknown,21,may,53,3,-1,0,unknown
56,retired,married,secondary,yes,101,no,yes,unknown,19,jun,330,1,-1,0,unknown
51,management,married,tertiary,no,-898,no,no,cellular,29,jan,78,2,-1,0,unknown
41,admin.,single,secondary,no,-109,yes,yes,cellular,11,may,1038,1,370,1,failure
47,admin.,married,secondary,no,257,yes,no,unknown,15,may,484,11,-1,0,unknown
38,technician,single,secondary,no,3278,no,no,cellular,19,aug,645,14,-1,0,unknown
34,admin.,married,tertiary,no,221,yes,no,unknown,8,may,185,4,-1,0,unknown
25,technician,single,secondary,no,31,no,no,cellular,2,aug,300,3,-1,0,unknown
62,retired,married,secondary,no,13,no,no,telephone,28,aug,36,1,-1,0,unknown
55,admin.,married,secondary,no,8304,no,no,cellular,1,sep,193,1,92,1,success
48,technician,married,secondary,no,-38,yes,no,cellular,13,may,331,3,-1,0,unknown
34,management,divorced,secondary,no,124,yes,no,cellular,21,nov,56,1,163,4,other
52,housemaid,divorced,secondary,no,131,yes,yes,cellular,11,may,87,1,-1,0,unknown
39,technician,single,tertiary,no,393,no,no,cellular,26,mar,281,1,-1,0,unknown
34,technician,single,secondary,no,27446,yes,no,cellular,21,nov,203,2,-1,0,unknown
30,services,single,secondary,no,484,yes,no,unknown,16,may,356,2,-1,0,unknown
73,retired,married,secondary,no,250,no,no,telephone,31,aug,245,4,-1,0,unknown
35,blue-collar,married,secondary,no,1330,no,no,cellular,10,jul,901,1,-1,0,unknown
36,technician,married,secondary,no,6384,yes,yes,cellular,18,nov,97,1,-1,0,unknown
51,management,married,tertiary,no,1355,yes,no,unknown,3,jun,272,1,-1,0,unknown
31,management,married,tertiary,no,163,yes,yes,telephone,10,nov,107,1,-1,0,unknown
42,management,married,secondary,no,2580,yes,no,unknown,16,jun,154,3,-1,0,unknown
45,technician,married,secondary,no,1415,yes,no,cellular,24,jul,311,1,-1,0,unknown
43,blue-collar,married,secondary,no,105,no,yes,cellular,4,jul,668,2,-1,0,unknown
34,services,single,secondary,no,1701,yes,no,unknown,21,may,245,1,-1,0,unknown
57,services,married,secondary,no,0,yes,no,cellular,14,may,16,9,282,3,other
38,management,single,tertiary,no,2357,yes,no,cellular,21,jul,184,1,-1,0,unknown
53,retired,married,primary,no,232,yes,yes,unknown,17,jun,203,2,-1,0,unknown
44,blue-collar,married,secondary,no,3060,yes,no,cellular,20,nov,113,1,189,2,failure
31,self-employed,single,tertiary,no,3361,no,no,cellular,19,nov,457,2,-1,0,unknown
55,retired,married,tertiary,no,357,yes,no,cellular,30,apr,878,1,-1,0,unknown
37,blue-collar,single,secondary,no,134,yes,no,unknown,8,may,200,1,-1,0,unknown
45,services,married,secondary,no,222,no,no,cellular,25,aug,119,11,-1,0,unknown
36,blue-collar,married,secondary,no,7579,yes,no,unknown,20,may,600,1,-1,0,unknown
49,self-employed,married,secondary,no,294,yes,no,unknown,2,jun,230,3,-1,0,unknown
26,entrepreneur,single,secondary,no,101,yes,no,cellular,5,feb,810,1,268,1,failure
27,technician,married,secondary,no,2183,yes,yes,unknown,21,may,857,1,-1,0,unknown
32,management,single,tertiary,no,623,no,no,telephone,24,dec,273,1,203,1,failure
52,services,married,primary,no,14,no,yes,cellular,28,jul,55,5,-1,0,unknown
54,blue-collar,single,secondary,no,1633,yes,no,unknown,4,oct,12,1,-1,0,unknown
32,management,single,tertiary,no,27,no,no,cellular,28,aug,146,3,-1,0,unknown
41,technician,married,secondary,no,1297,no,no,unknown,6,jun,82,1,-1,0,unknown
42,management,married,tertiary,no,0,yes,no,cellular,15,jul,133,4,-1,0,unknown
38,technician,married,secondary,no,69,no,yes,cellular,24,jul,915,2,-1,0,unknown
48,blue-collar,married,secondary,no,1230,yes,yes,unknown,7,may,152,3,-1,0,unknown
40,management,married,tertiary,no,5142,no,no,cellular,13,jan,147,2,224,1,failure
50,technician,married,primary,no,883,yes,no,unknown,5,jun,170,1,-1,0,unknown
36,technician,married,secondary,no,1659,no,no,cellular,12,aug,126,2,-1,0,unknown
39,housemaid,married,primary,no,4899,no,no,unknown,20,jun,394,2,-1,0,unknown
47,technician,divorced,secondary,no,5735,no,no,unknown,19,jun,282,4,-1,0,unknown
38,technician,married,secondary,no,6728,no,no,cellular,25,nov,232,1,96,4,success
40,management,single,tertiary,no,1820,yes,yes,unknown,3,jun,173,3,-1,0,unknown
53,admin.,married,secondary,no,109,no,no,telephone,2,jun,270,1,-1,0,unknown
32,unemployed,single,secondary,no,747,yes,no,cellular,8,may,130,2,-1,0,unknown
37,management,married,tertiary,no,1300,yes,no,cellular,16,apr,211,1,-1,0,unknown
27,management,single,tertiary,no,212,yes,no,cellular,15,may,373,1,-1,0,unknown
61,admin.,divorced,tertiary,no,89,no,no,cellular,24,nov,141,2,95,2,other
33,blue-collar,married,secondary,no,263,yes,no,unknown,21,may,206,3,-1,0,unknown
33,services,single,secondary,no,192,no,no,cellular,24,jul,255,1,-1,0,unknown
44,technician,divorced,secondary,no,-562,yes,no,unknown,27,may,159,5,-1,0,unknown
33,management,single,tertiary,no,101,yes,no,cellular,23,feb,393,2,130,1,other
37,technician,married,secondary,no,710,yes,no,unknown,6,may,378,3,-1,0,unknown
55,entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown
31,technician,single,secondary,no,7567,no,no,cellular,14,may,287,1,276,2,failure
33,management,married,tertiary,no,331,yes,no,cellular,13,may,94,3,-1,0,unknown
30,management,divorced,tertiary,no,415,yes,yes,cellular,6,may,984,1,343,4,failure
50,admin.,married,secondary,no,715,no,no,cellular,28,aug,131,13,-1,0,unknown
34,blue-collar,single,secondary,no,47,yes,no,cellular,18,nov,810,2,-1,0,unknown
47,blue-collar,married,secondary,no,243,yes,no,cellular,4,feb,220,1,246,4,failure
57,retired,married,secondary,no,4490,no,no,cellular,7,aug,101,2,-1,0,unknown
30,technician,single,secondary,no,1359,yes,no,unknown,27,may,298,1,-1,0,unknown
54,management,married,tertiary,no,0,no,no,cellular,16,jul,118,5,-1,0,unknown
51,technician,divorced,secondary,no,-471,no,no,cellular,26,aug,169,2,-1,0,unknown
44,entrepreneur,married,tertiary,no,1631,yes,no,unknown,6,may,346,2,-1,0,unknown
30,services,divorced,secondary,no,1336,yes,no,cellular,18,may,13,3,355,5,failure
33,technician,divorced,secondary,no,558,yes,no,cellular,20,aug,109,3,-1,0,unknown
29,blue-collar,married,primary,no,544,no,yes,cellular,21,jul,121,4,-1,0,unknown
59,management,married,primary,no,120,no,yes,cellular,17,jul,102,2,-1,0,unknown
42,management,married,tertiary,no,4617,yes,no,cellular,31,jul,543,2,-1,0,unknown
25,blue-collar,single,secondary,no,0,no,no,telephone,8,jul,112,1,-1,0,unknown
48,unemployed,married,secondary,no,1218,no,no,cellular,4,aug,198,1,-1,0,unknown
56,technician,married,secondary,no,1938,no,yes,cellular,26,feb,229,1,192,4,success
67,retired,divorced,secondary,no,704,no,no,cellular,6,may,613,1,87,3,success
36,technician,married,secondary,no,26,no,no,unknown,9,jun,73,1,-1,0,unknown
32,admin.,married,secondary,no,506,yes,no,unknown,23,may,188,6,-1,0,unknown
49,management,married,tertiary,no,4374,yes,no,cellular,31,jul,68,3,-1,0,unknown
34,blue-collar,married,primary,no,425,yes,no,unknown,29,may,182,6,-1,0,unknown
41,technician,divorced,secondary,no,475,yes,no,cellular,28,aug,49,7,-1,0,unknown
34,management,married,tertiary,no,3402,no,no,cellular,3,jun,88,2,-1,0,unknown
41,management,single,tertiary,no,1253,no,no,cellular,21,jul,1134,5,-1,0,unknown
51,technician,married,secondary,no,18,no,yes,cellular,25,jul,363,6,-1,0,unknown
55,blue-collar,married,secondary,no,388,no,no,cellular,12,aug,187,2,-1,0,unknown
34,admin.,married,tertiary,no,434,no,no,cellular,8,jul,165,3,-1,0,unknown
40,blue-collar,married,secondary,no,565,yes,yes,cellular,20,apr,297,2,-1,0,unknown
30,management,married,tertiary,no,233,yes,no,unknown,14,may,382,10,-1,0,unknown
60,unknown,married,unknown,no,652,no,no,unknown,19,jun,525,1,-1,0,unknown
58,retired,married,secondary,no,919,yes,yes,cellular,30,apr,329,2,346,2,failure
57,management,married,tertiary,no,412,no,no,cellular,20,nov,123,1,-1,0,unknown
34,services,married,secondary,no,184,yes,no,cellular,18,nov,87,1,-1,0,unknown
50,management,married,tertiary,no,1396,no,no,cellular,25,aug,731,6,-1,0,unknown
49,management,married,tertiary,no,2187,no,no,cellular,25,nov,92,2,-1,0,unknown
63,retired,married,secondary,no,1612,no,no,telephone,17,feb,233,2,-1,0,unknown
56,management,married,tertiary,no,171,no,yes,telephone,17,jul,610,2,-1,0,unknown
30,student,single,tertiary,no,228,yes,no,cellular,13,may,314,2,-1,0,unknown
55,blue-collar,married,secondary,no,1011,yes,no,cellular,12,aug,112,2,-1,0,unknown
28,unemployed,single,secondary,no,559,yes,no,unknown,4,jun,236,1,-1,0,unknown
28,services,married,secondary,no,0,yes,no,telephone,14,may,62,7,-1,0,unknown
40,services,single,secondary,no,2936,no,no,unknown,6,jun,473,2,-1,0,unknown
46,management,married,tertiary,no,445,yes,no,cellular,10,jul,292,1,-1,0,unknown
33,blue-collar,single,primary,no,1,yes,no,cellular,20,apr,257,1,-1,0,unknown
32,management,single,tertiary,no,0,no,no,cellular,19,nov,57,1,-1,0,unknown
38,blue-collar,married,secondary,no,5092,yes,no,unknown,17,jun,145,6,-1,0,unknown
32,entrepreneur,married,secondary,no,1996,yes,no,cellular,18,nov,271,1,-1,0,unknown
46,admin.,married,secondary,no,1437,yes,no,cellular,12,may,49,1,-1,0,unknown
36,blue-collar,married,secondary,no,1055,yes,no,cellular,4,feb,62,1,-1,0,unknown
49,technician,married,tertiary,no,1235,no,no,cellular,13,aug,354,3,-1,0,unknown
46,self-employed,married,unknown,no,-257,no,no,cellular,21,nov,104,1,189,2,failure
28,technician,married,secondary,no,58,yes,no,cellular,14,may,16,6,351,1,failure
27,admin.,single,secondary,no,321,no,yes,unknown,2,sep,4,1,-1,0,unknown
35,management,married,tertiary,no,0,yes,no,telephone,29,jul,399,12,-1,0,unknown
34,unemployed,divorced,tertiary,yes,530,yes,no,cellular,7,may,57,1,-1,0,unknown
27,blue-collar,single,primary,no,540,no,no,cellular,6,feb,115,1,-1,0,unknown
40,management,divorced,tertiary,no,290,yes,no,unknown,27,may,184,1,-1,0,unknown
46,technician,married,secondary,no,487,no,no,cellular,4,aug,432,1,-1,0,unknown
53,technician,divorced,secondary,no,1950,no,no,cellular,13,aug,111,1,-1,0,unknown
36,admin.,married,secondary,no,0,yes,yes,cellular,9,feb,101,2,-1,0,unknown
54,admin.,married,secondary,no,1633,no,no,cellular,3,jul,409,2,-1,0,unknown
50,entrepreneur,married,secondary,no,0,yes,yes,cellular,17,nov,344,1,-1,0,unknown
34,blue-collar,married,primary,no,-167,yes,no,unknown,21,may,201,1,-1,0,unknown
38,technician,single,secondary,no,46,no,no,cellular,25,aug,90,2,-1,0,unknown
35,technician,married,tertiary,no,1354,no,no,cellular,2,jun,250,2,-1,0,unknown
50,blue-collar,married,primary,no,1290,yes,no,unknown,30,may,65,14,-1,0,unknown
34,services,divorced,secondary,no,221,yes,no,unknown,19,may,343,1,-1,0,unknown
35,technician,married,secondary,no,2779,no,no,cellular,26,apr,182,2,186,2,success
52,management,married,secondary,no,596,yes,no,cellular,29,jan,113,1,188,1,other
37,blue-collar,married,primary,no,204,yes,no,unknown,21,may,161,4,-1,0,unknown
51,entrepreneur,divorced,tertiary,no,315,no,no,cellular,11,oct,291,1,91,4,failure
47,blue-collar,married,secondary,no,327,yes,no,cellular,16,apr,352,1,-1,0,unknown
40,blue-collar,divorced,secondary,no,139,yes,no,unknown,7,may,91,1,-1,0,unknown
39,blue-collar,married,secondary,no,167,yes,yes,cellular,12,may,612,1,-1,0,unknown
26,technician,single,secondary,no,1231,yes,no,cellular,4,sep,230,1,93,7,success
52,admin.,married,secondary,no,799,no,no,cellular,21,jul,128,2,-1,0,unknown
36,blue-collar,married,secondary,no,1828,yes,no,telephone,17,oct,24,1,-1,0,unknown
37,blue-collar,married,secondary,no,426,no,no,unknown,17,jun,285,1,-1,0,unknown
63,management,married,unknown,no,2352,no,no,telephone,4,may,475,7,-1,0,unknown
35,blue-collar,single,secondary,no,5,no,no,unknown,19,may,268,3,-1,0,unknown
40,housemaid,married,primary,no,4904,yes,no,cellular,11,may,248,1,356,1,failure
35,entrepreneur,married,secondary,no,350,yes,no,unknown,21,may,345,1,-1,0,unknown
57,admin.,married,secondary,no,128,no,no,telephone,29,jul,143,8,-1,0,unknown
50,management,married,secondary,no,125,yes,yes,cellular,14,may,8,5,-1,0,unknown
52,management,single,tertiary,no,824,no,no,cellular,8,may,466,1,354,2,failure
22,student,single,secondary,no,0,no,no,cellular,6,feb,229,6,-1,0,unknown
38,admin.,married,secondary,no,1,no,no,unknown,6,may,76,1,-1,0,unknown
44,management,married,secondary,no,-1746,yes,no,unknown,20,jun,218,1,-1,0,unknown
31,admin.,married,secondary,no,0,yes,yes,cellular,18,nov,79,3,-1,0,unknown
60,blue-collar,married,primary,no,0,no,yes,cellular,13,aug,324,4,-1,0,unknown
44,housemaid,single,primary,no,1059,no,no,unknown,18,jun,2093,1,-1,0,unknown
52,admin.,married,secondary,no,3703,yes,no,cellular,23,jul,152,1,-1,0,unknown
31,technician,married,secondary,no,1951,yes,no,cellular,21,jul,519,2,-1,0,unknown
31,management,married,tertiary,no,713,yes,no,unknown,9,may,1534,2,-1,0,unknown
59,retired,married,unknown,no,0,no,no,unknown,8,may,425,6,-1,0,unknown
47,blue-collar,married,secondary,no,3715,no,no,cellular,12,feb,171,2,182,4,other
33,blue-collar,married,secondary,no,1924,yes,yes,cellular,22,jul,81,1,-1,0,unknown
37,blue-collar,married,secondary,no,-83,yes,no,cellular,18,may,179,4,-1,0,unknown
35,technician,married,secondary,no,0,no,no,cellular,14,jul,125,2,-1,0,unknown
39,management,married,secondary,no,0,yes,no,cellular,24,jul,21,21,-1,0,unknown
47,blue-collar,married,primary,no,48,no,no,cellular,13,aug,170,2,-1,0,unknown
34,admin.,married,secondary,no,48,yes,no,cellular,7,may,1806,2,287,3,other
43,blue-collar,married,secondary,no,101,no,no,unknown,6,jun,153,1,-1,0,unknown
33,management,single,tertiary,no,3143,no,no,cellular,29,jun,421,2,-1,0,unknown
58,services,married,secondary,no,50,yes,no,cellular,20,nov,161,7,-1,0,unknown
42,blue-collar,married,primary,no,1520,yes,no,cellular,5,feb,115,1,-1,0,unknown
36,blue-collar,married,secondary,no,2452,yes,no,cellular,21,nov,161,1,-1,0,unknown
31,technician,single,secondary,no,0,yes,no,cellular,11,may,163,1,370,1,failure
38,management,married,tertiary,no,516,yes,no,telephone,16,apr,198,3,-1,0,unknown
45,blue-collar,married,unknown,no,1263,yes,no,unknown,19,may,283,3,-1,0,unknown
35,admin.,married,secondary,no,-521,no,yes,unknown,9,jun,71,2,-1,0,unknown
32,technician,married,secondary,no,908,yes,no,unknown,20,may,64,1,-1,0,unknown
33,management,married,tertiary,no,22867,yes,no,cellular,10,aug,73,1,440,2,failure
37,technician,married,secondary,no,1578,no,yes,cellular,26,aug,85,6,-1,0,unknown
38,admin.,single,secondary,no,2329,yes,no,cellular,29,jan,261,1,-1,0,unknown
55,blue-collar,married,primary,no,2896,no,no,unknown,17,jun,138,3,-1,0,unknown
54,management,married,tertiary,no,8509,yes,no,cellular,7,may,147,1,-1,0,unknown
